log                                           n  servekit   gated  max_el  skew
--------------------------------------------------------------------------------
hp-hugepage-100mb-la3-76272.out               4      9.18   10.31    9.40     0
hp-hugepage-1gb-la1-76276.out                 4      6.81    8.06    7.36     0
hp-hugepage-1gb-la2-76277.out                 4      8.52    8.75    8.75     0
hp-hugepage-256mb-76262.out                   4      8.58    9.58    8.95     0
hp-hugepage-2gb-76264.out                     4      8.25    8.62    8.62     0
hp-hugepage-500mb-la3-76274.out               4      8.76    9.21    9.21     0
hp-hugepage-512mb-76263.out                   4      8.05    8.49    8.49     0
hp-hugepage-76161.out                         4      5.34   10.34   10.07     0
hp-hugepage-76259.out                         4      7.97    8.50    8.50     0
hp-hugepage-76261.out                         4      7.44    8.66    8.66     0
hp-hugepage-fullaheаd-76271.out               4      7.89    8.24    8.24     0
hp-hugepage-pipelined-76266.out               4      7.27    7.54    7.54     0
hp-hugepage-streamsync-76269.out              4      6.84    7.03    7.03     0
p4shm-fastsafetensors-73667.out               4     25.07   25.09   25.09     0
p4shm-mmap-73665.out                          4     19.55   19.57   19.57     0
p4shm-nommap-73666.out                        4    103.57  106.02  105.40     0
p4sl-mmap-75168.out                           4     19.58   19.58   19.58     0
p4sl-mmap-75196.out                           4     19.09   19.09   19.09     0
p4sl-mmap-75335.out                           4     18.61   18.63   18.63     0
p4slb-mmap-75193.out                          4     19.69   19.69   19.69     0
b-bulk-76052.out                              4     50.03   55.24   54.31     0
b-bulk_thr-76053.out                          4     50.69   55.08   55.08     0
b-ctl-76051.out                               4     20.51   20.51   20.51     0
nsys_weight_load.sbatch-76093.out             4     20.29   20.29   20.29     0
nsys_weight_load.sbatch-76112.out             4     19.78   19.84   19.84     0
p4-ctl-75845.out                              4     18.99   18.99   18.99     0
p4-stage-75850.out                            4     17.54   17.56   17.56     0
p4-stage_thr-75851.out                        4     17.61   17.63   17.63     0
p4-thr-75846.out                              4     18.21   18.21   18.21     0
phase1_pyspy_e2e.sbatch-75699.out             4     26.99   27.01   27.01     0
phase1_pyspy_e2e.sbatch-75700.out             4     27.94   27.95   27.95     0
phase1_pyspy_e2e.sbatch-75705.out             4     20.34   20.34   20.34     0
phase1_pyspy_e2e.sbatch-75706.out             4     19.49   19.49   19.49     0
phase1_pyspy_e2e.sbatch-75707.out             4     19.86   19.87   19.87     0
phase1_pyspy_e2e.sbatch-75709.out             4     19.60   19.60   19.60     0
s-save-76105.out                              4     61.55   61.56   61.56     0
s-save-76113.out                              4     57.40   57.42   57.42     0
s-sharded-76115.out                           4     10.60   11.70   11.08     0
s-sharded_pin-76116.out                       4     11.93   14.66   14.37     0
