import time: self [us] | cumulative | imported package
import time:       481 |        481 |   _io
import time:        66 |         66 |   marshal
import time:       441 |        441 |   posix
import time:       429 |       1416 | _frozen_importlib_external
import time:       180 |        180 |   time
import time:       108 |        288 | zipimport
import time:       100 |        100 |     _codecs
import time:       507 |        607 |   codecs
import time:      8647 |       8647 |   encodings.aliases
import time:     27331 |      36584 | encodings
import time:      1432 |       1432 | encodings.utf_8
import time:       184 |        184 | _signal
import time:        61 |         61 |     _abc
import time:       201 |        261 |   abc
import time:       251 |        511 | io
import time:        77 |         77 |       _stat
import time:       101 |        178 |     stat
import time:      1145 |       1145 |     _collections_abc
import time:        43 |         43 |       genericpath
import time:        66 |        109 |     posixpath
import time:       298 |       1728 |   os
import time:        54 |         54 |   _sitebuiltins
import time:     17138 |      17138 |     __future__
import time:      1987 |       1987 |         warnings
import time:      4457 |       6444 |       importlib
import time:       108 |       6551 |     importlib.machinery
import time:      2487 |       2487 |       importlib._abc
import time:       117 |        117 |             itertools
import time:      1154 |       1154 |             keyword
import time:        99 |         99 |               _operator
import time:      1388 |       1486 |             operator
import time:      1456 |       1456 |             reprlib
import time:        64 |         64 |             _collections
import time:      3184 |       7459 |           collections
import time:      1629 |       1629 |           types
import time:        48 |         48 |           _functools
import time:      2059 |      11194 |         functools
import time:      1617 |       1617 |         _weakrefset
import time:      2369 |      15179 |       threading
import time:       143 |      17808 |     importlib.util
import time:      1513 |       1513 |           enum
import time:       139 |        139 |             _sre
import time:       458 |        458 |               re._constants
import time:      1520 |       1977 |             re._parser
import time:       286 |        286 |             re._casefix
import time:       708 |       3108 |           re._compiler
import time:      1339 |       1339 |           copyreg
import time:      3911 |       9870 |         re
import time:      1383 |      11252 |       fnmatch
import time:        61 |         61 |       errno
import time:      3609 |       3609 |         urllib
import time:       125 |        125 |         math
import time:      3473 |       3473 |         ipaddress
import time:      2243 |       9448 |       urllib.parse
import time:       167 |        167 |         _winapi
import time:        97 |         97 |         nt
import time:        73 |         73 |         nt
import time:        67 |         67 |         nt
import time:        75 |         75 |         nt
import time:        66 |         66 |         nt
import time:        64 |         64 |         nt
import time:       176 |        782 |       ntpath
import time:      1908 |      23450 |     pathlib
import time:      4714 |      69659 |   __editable___sglang_0_5_10_finder
import time:      3321 |       3321 |     cuda
import time:       538 |       3859 |   _cuda_bindings_redirector
import time:      2018 |       2018 |   _distutils_hack
import time:      1516 |       1516 |     apport_python_hook
import time:      1796 |       3312 |   sitecustomize
import time:    112061 |     192687 | site
import time:      6395 |       6395 |       sglang.global_config
import time:       282 |        282 |         sglang.lang
import time:       600 |        600 |           collections.abc
import time:      1158 |       1158 |           contextlib
import time:        72 |         72 |           _typing
import time:      4462 |       6291 |         typing
import time:       803 |        803 |           sglang.lang.backend
import time:       577 |        577 |                 weakref
import time:       382 |        958 |               copy
import time:        72 |         72 |                   _ast
import time:      2210 |       2282 |                 ast
import time:        54 |         54 |                     _opcode
import time:       726 |        779 |                   opcode
import time:      1561 |       2340 |                 dis
import time:       329 |        329 |                     token
import time:        41 |         41 |                     _tokenize
import time:       996 |       1366 |                   tokenize
import time:       479 |       1844 |                 linecache
import time:      2882 |       9348 |               inspect
import time:      1436 |      11741 |             dataclasses
import time:      4514 |      16254 |           sglang.lang.chat_template
import time:     45392 |      45392 |               numpy.version
import time:       385 |        385 |               numpy._expired_attrs_2_0
import time:      1566 |       1566 |                   numpy._utils._convertions
import time:      1564 |       3129 |                 numpy._utils
import time:       553 |       3682 |               numpy._globals
import time:        47 |         47 |                 numpy._distributor_init_local
import time:       272 |        318 |               numpy._distributor_init
import time:       367 |        367 |                           _datetime
import time:       694 |       1061 |                         datetime
import time:       527 |        527 |                         numpy.exceptions
import time:       504 |        504 |                         numpy._core._exceptions
import time:      1132 |       1132 |                             _contextvars
import time:       571 |       1702 |                           contextvars
import time:      1039 |       2741 |                         numpy._core.printoptions
import time:       371 |        371 |                         numpy.dtypes
import time:    167798 |     172999 |                       numpy._core._multiarray_umath
import time:       367 |        367 |                         numpy._utils._inspect
import time:       908 |       1274 |                       numpy._core.overrides
import time:      2077 |     176349 |                     numpy._core.multiarray
import time:      8785 |       8785 |                     numpy._core.umath
import time:       767 |        767 |                       numbers
import time:       665 |        665 |                       numpy._core._dtype
import time:      1136 |       1136 |                       numpy._core._string_helpers
import time:       595 |        595 |                       numpy._core._type_aliases
import time:       656 |       3816 |                     numpy._core.numerictypes
import time:       604 |        604 |                       numpy._core._ufunc_config
import time:       113 |        113 |                               _struct
import time:       966 |       1078 |                             struct
import time:       848 |        848 |                             _compat_pickle
import time:       159 |        159 |                             _pickle
import time:      1955 |       4039 |                           pickle
import time:       449 |       4488 |                         numpy._core._methods
import time:      2467 |       6954 |                       numpy._core.fromnumeric
import time:       462 |       8019 |                     numpy._core._machar
import time:      1220 |       1220 |                         numpy._core.shape_base
import time:       440 |        440 |                         numpy._core._asarray
import time:      1956 |       1956 |                         numpy._core.arrayprint
import time:      1139 |       4754 |                       numpy._core.numeric
import time:      1560 |       6314 |                     numpy._core.einsumfunc
import time:       552 |        552 |                     numpy._core.function_base
import time:       626 |        626 |                     numpy._core.getlimits
import time:       476 |        476 |                     numpy._core.memmap
import time:       678 |        678 |                     numpy._core.records
import time:      2752 |       2752 |                     numpy._core._add_newdocs
import time:       584 |        584 |                     numpy._core._add_newdocs_scalars
import time:       403 |        403 |                     numpy._core._dtype_ctypes
import time:      2323 |       2323 |                         _ctypes
import time:       608 |        608 |                         ctypes._endian
import time:      3384 |       6313 |                       ctypes
import time:      1114 |       7427 |                     numpy._core._internal
import time:       311 |        311 |                     numpy._pytesttester
import time:      3322 |     220407 |                   numpy._core
