import time: self [us] | cumulative | imported package
import time:       226 |        226 |   _io
import time:        34 |         34 |   marshal
import time:       301 |        301 |   posix
import time:       292 |        852 | _frozen_importlib_external
import time:       171 |        171 |   time
import time:        90 |        260 | zipimport
import time:        50 |         50 |     _codecs
import time:       237 |        286 |   codecs
import time:       505 |        505 |   encodings.aliases
import time:       631 |       1422 | encodings
import time:       279 |        279 | encodings.utf_8
import time:        91 |         91 | _signal
import time:        32 |         32 |     _abc
import time:        98 |        130 |   abc
import time:       123 |        252 | io
import time:        36 |         36 |       _stat
import time:        48 |         84 |     stat
import time:       673 |        673 |     _collections_abc
import time:        45 |         45 |       genericpath
import time:        64 |        108 |     posixpath
import time:       266 |       1130 |   os
import time:        54 |         54 |   _sitebuiltins
import time:       294 |        294 |     __future__
import time:       424 |        424 |         warnings
import time:       270 |        694 |       importlib
import time:        49 |        743 |     importlib.machinery
import time:       286 |        286 |       importlib._abc
import time:       114 |        114 |             itertools
import time:       237 |        237 |             keyword
import time:        74 |         74 |               _operator
import time:       435 |        509 |             operator
import time:       284 |        284 |             reprlib
import time:        61 |         61 |             _collections
import time:       881 |       2083 |           collections
import time:       419 |        419 |           types
import time:        48 |         48 |           _functools
import time:       758 |       3306 |         functools
import time:       310 |        310 |         _weakrefset
import time:       675 |       4289 |       threading
import time:        98 |       4672 |     importlib.util
import time:      1343 |       1343 |           enum
import time:       138 |        138 |             _sre
import time:       363 |        363 |               re._constants
import time:       443 |        806 |             re._parser
import time:       214 |        214 |             re._casefix
import time:       498 |       1655 |           re._compiler
import time:       268 |        268 |           copyreg
import time:       675 |       3939 |         re
import time:       271 |       4209 |       fnmatch
import time:        59 |         59 |       errno
import time:       232 |        232 |         urllib
import time:        80 |         80 |         math
import time:      1887 |       1887 |         ipaddress
import time:      1255 |       3452 |       urllib.parse
import time:        59 |         59 |         _winapi
import time:        48 |         48 |         nt
import time:        40 |         40 |         nt
import time:        37 |         37 |         nt
import time:        41 |         41 |         nt
import time:        36 |         36 |         nt
import time:        36 |         36 |         nt
import time:        87 |        382 |       ntpath
import time:       801 |       8902 |     pathlib
import time:       756 |      15366 |   __editable___sglang_0_5_10_finder
import time:       124 |        124 |     cuda
import time:       271 |        394 |   _cuda_bindings_redirector
import time:       364 |        364 |   _distutils_hack
import time:       195 |        195 |     apport_python_hook
import time:       337 |        532 |   sitecustomize
import time:      1499 |      19335 | site
import time:       248 |        248 |       sglang.global_config
import time:       153 |        153 |         sglang.lang
import time:       295 |        295 |           collections.abc
import time:       727 |        727 |           contextlib
import time:        41 |         41 |           _typing
import time:      2473 |       3534 |         typing
import time:        85 |         85 |           sglang.lang.backend
import time:       517 |        517 |                 weakref
import time:       369 |        886 |               copy
import time:      1028 |       1028 |                   _ast
import time:      1300 |       2327 |                 ast
import time:        53 |         53 |                     _opcode
import time:       536 |        588 |                   opcode
import time:      1160 |       1747 |                 dis
import time:       287 |        287 |                     token
import time:        40 |         40 |                     _tokenize
import time:       945 |       1271 |                   tokenize
import time:       291 |       1561 |                 linecache
import time:      2195 |       7829 |               inspect
import time:       816 |       9530 |             dataclasses
import time:      1200 |      10730 |           sglang.lang.chat_template
import time:       264 |        264 |               numpy.version
import time:       207 |        207 |               numpy._expired_attrs_2_0
import time:       367 |        367 |                   numpy._utils._convertions
import time:       226 |        592 |                 numpy._utils
import time:       330 |        921 |               numpy._globals
import time:        38 |         38 |                 numpy._distributor_init_local
import time:       217 |        254 |               numpy._distributor_init
import time:       177 |        177 |                           _datetime
import time:       419 |        595 |                         datetime
import time:       449 |        449 |                         numpy.exceptions
import time:       543 |        543 |                         numpy._core._exceptions
import time:       296 |        296 |                             _contextvars
import time:       352 |        647 |                           contextvars
import time:       244 |        891 |                         numpy._core.printoptions
import time:      1090 |       1090 |                         numpy.dtypes
import time:     11681 |      15247 |                       numpy._core._multiarray_umath
import time:       284 |        284 |                         numpy._utils._inspect
import time:       439 |        722 |                       numpy._core.overrides
import time:       727 |      16694 |                     numpy._core.multiarray
import time:       324 |        324 |                     numpy._core.umath
import time:       572 |        572 |                       numbers
import time:       317 |        317 |                       numpy._core._dtype
import time:       256 |        256 |                       numpy._core._string_helpers
import time:       443 |        443 |                       numpy._core._type_aliases
import time:       465 |       2051 |                     numpy._core.numerictypes
import time:       440 |        440 |                       numpy._core._ufunc_config
import time:       107 |        107 |                               _struct
import time:       283 |        389 |                             struct
import time:       561 |        561 |                             _compat_pickle
import time:       148 |        148 |                             _pickle
import time:      1127 |       2223 |                           pickle
import time:       369 |       2592 |                         numpy._core._methods
import time:      1297 |       3889 |                       numpy._core.fromnumeric
import time:       321 |       4649 |                     numpy._core._machar
import time:       484 |        484 |                         numpy._core.shape_base
import time:       268 |        268 |                         numpy._core._asarray
import time:       915 |        915 |                         numpy._core.arrayprint
import time:      1017 |       2682 |                       numpy._core.numeric
import time:       494 |       3176 |                     numpy._core.einsumfunc
import time:       409 |        409 |                     numpy._core.function_base
import time:       460 |        460 |                     numpy._core.getlimits
import time:       323 |        323 |                     numpy._core.memmap
import time:       491 |        491 |                     numpy._core.records
import time:      1564 |       1564 |                     numpy._core._add_newdocs
import time:       521 |        521 |                     numpy._core._add_newdocs_scalars
import time:       266 |        266 |                     numpy._core._dtype_ctypes
import time:       996 |        996 |                         _ctypes
import time:       468 |        468 |                         ctypes._endian
import time:      1147 |       2610 |                       ctypes
import time:       917 |       3527 |                     numpy._core._internal
import time:       257 |        257 |                     numpy._pytesttester
import time:       679 |      35385 |                   numpy._core
import time:        33 |      35418 |                 numpy._core._multiarray_umath
import time:       431 |      35848 |               numpy.__config__
import time:       897 |        897 |                                 numpy._typing._nbit_base
import time:      1043 |       1043 |                                 numpy._typing._nested_sequence
import time:       707 |        707 |                                 numpy._typing._shape
import time:     10092 |      12739 |                               numpy._typing._array_like
import time:      2144 |       2144 |                               numpy._typing._char_codes
import time:      5284 |       5284 |                               numpy._typing._dtype_like
import time:       391 |        391 |                               numpy._typing._nbit
import time:       266 |        266 |                               numpy._typing._scalars
import time:       214 |        214 |                               numpy._typing._ufunc
import time:       489 |      21524 |                             numpy._typing
import time:       360 |        360 |                               numpy.lib._stride_tricks_impl
import time:       478 |        838 |                             numpy.lib._twodim_base_impl
import time:       241 |        241 |                               numpy.lib._array_utils_impl
import time:       224 |        465 |                             numpy.lib.array_utils
import time:       422 |        422 |                             numpy.linalg._umath_linalg
import time:      2084 |      25330 |                           numpy.linalg._linalg
import time:       229 |        229 |                           numpy.linalg.linalg
import time:       301 |      25859 |                         numpy.linalg
import time:       513 |      26372 |                       numpy.matrixlib.defmatrix
import time:       290 |      26661 |                     numpy.matrixlib
import time:       453 |        453 |                       numpy.lib._histograms_impl
import time:      1576 |       2028 |                     numpy.lib._function_base_impl
import time:       222 |        222 |                     numpy.lib.stride_tricks
import time:       631 |      29542 |                   numpy.lib._index_tricks_impl
import time:       475 |      30016 |                 numpy.lib._arraypad_impl
import time:      1137 |       1137 |                 numpy.lib._arraysetops_impl
import time:       308 |        308 |                 numpy.lib._arrayterator_impl
import time:       677 |        677 |                 numpy.lib._nanfunctions_impl
import time:       121 |        121 |                           _wmi
import time:       857 |        977 |                         platform
import time:      5812 |       5812 |                         textwrap
import time:       369 |       7158 |                       numpy.lib._utils_impl
import time:       390 |       7548 |                     numpy.lib._format_impl
import time:       222 |       7769 |                   numpy.lib.format
import time:       382 |        382 |                   numpy.lib._datasource
import time:       536 |        536 |                   numpy.lib._iotools
import time:       796 |       9482 |                 numpy.lib._npyio_impl
import time:       259 |        259 |                     numpy.lib._ufunclike_impl
import time:       443 |        701 |                   numpy.lib._type_check_impl
import time:       777 |       1477 |                 numpy.lib._polynomial_impl
import time:       561 |        561 |                 numpy.lib._shape_base_impl
import time:       271 |        271 |                 numpy.lib._version
import time:       212 |        212 |                 numpy.lib.introspect
import time:       336 |        336 |                 numpy.lib.mixins
import time:       217 |        217 |                 numpy.lib.npyio
import time:       486 |        486 |                   numpy.lib._scimath_impl
import time:       207 |        692 |                 numpy.lib.scimath
import time:       572 |      45951 |               numpy.lib
import time:       271 |        271 |               numpy._array_api_info
import time:      2863 |      86576 |             numpy
import time:      1010 |      87586 |           sglang.lang.choices
import time:       282 |        282 |                   concurrent
import time:       870 |        870 |                       traceback
import time:        45 |         45 |                         _string
import time:       777 |        822 |                       string
import time:        71 |         71 |                       atexit
import time:      2185 |       3947 |                     logging
import time:      1044 |       4990 |                   concurrent.futures._base
import time:       348 |       5619 |                 concurrent.futures
import time:        54 |         54 |                   _heapq
import time:       399 |        453 |                 heapq
import time:       616 |        616 |                   _socket
import time:        92 |         92 |                     select
import time:       754 |        846 |                   selectors
import time:       113 |        113 |                   array
import time:      1989 |       3562 |                 socket
import time:        89 |         89 |                     _locale
import time:      1046 |       1134 |                   locale
import time:      1498 |       1498 |                   signal
import time:        90 |         90 |                   fcntl
import time:       121 |        121 |                   msvcrt
import time:        47 |         47 |                   _posixsubprocess
import time:       832 |       3720 |                 subprocess
import time:      3324 |       3324 |                   _ssl
import time:       161 |        161 |                     binascii
import time:       465 |        625 |                   base64
import time:      3472 |       7420 |                 ssl
import time:       398 |        398 |                 asyncio.constants
import time:       266 |        266 |                 asyncio.coroutines
