import time: self [us] | cumulative | imported package
import time:       231 |        231 |   _io
import time:        35 |         35 |   marshal
import time:       324 |        324 |   posix
import time:       296 |        885 | _frozen_importlib_external
import time:       155 |        155 |   time
import time:        93 |        248 | zipimport
import time:        50 |         50 |     _codecs
import time:       250 |        299 |   codecs
import time:       480 |        480 |   encodings.aliases
import time:       541 |       1319 | encodings
import time:       253 |        253 | encodings.utf_8
import time:        91 |         91 | _signal
import time:        33 |         33 |     _abc
import time:       103 |        136 |   abc
import time:       127 |        262 | io
import time:        39 |         39 |       _stat
import time:        52 |         90 |     stat
import time:       694 |        694 |     _collections_abc
import time:        47 |         47 |       genericpath
import time:        71 |        117 |     posixpath
import time:       279 |       1179 |   os
import time:        55 |         55 |   _sitebuiltins
import time:       247 |        247 |     __future__
import time:       367 |        367 |         warnings
import time:       231 |        598 |       importlib
import time:        50 |        648 |     importlib.machinery
import time:       381 |        381 |       importlib._abc
import time:       114 |        114 |             itertools
import time:       199 |        199 |             keyword
import time:        74 |         74 |               _operator
import time:       398 |        471 |             operator
import time:       244 |        244 |             reprlib
import time:        63 |         63 |             _collections
import time:       840 |       1930 |           collections
import time:       388 |        388 |           types
import time:        48 |         48 |           _functools
import time:       700 |       3064 |         functools
import time:       281 |        281 |         _weakrefset
import time:       661 |       4004 |       threading
import time:       103 |       4488 |     importlib.util
import time:      1286 |       1286 |           enum
import time:       176 |        176 |             _sre
import time:       389 |        389 |               re._constants
import time:       485 |        873 |             re._parser
import time:       214 |        214 |             re._casefix
import time:       541 |       1803 |           re._compiler
import time:       273 |        273 |           copyreg
import time:       702 |       4062 |         re
import time:       219 |       4281 |       fnmatch
import time:        74 |         74 |       errno
import time:       226 |        226 |         urllib
import time:        84 |         84 |         math
import time:      2715 |       2715 |         ipaddress
import time:      1307 |       4330 |       urllib.parse
import time:        56 |         56 |         _winapi
import time:        46 |         46 |         nt
import time:        39 |         39 |         nt
import time:        36 |         36 |         nt
import time:        40 |         40 |         nt
import time:        36 |         36 |         nt
import time:        35 |         35 |         nt
import time:        91 |        374 |       ntpath
import time:       769 |       9826 |     pathlib
import time:       715 |      15921 |   __editable___sglang_0_5_10_finder
import time:       124 |        124 |     cuda
import time:       235 |        359 |   _cuda_bindings_redirector
import time:       315 |        315 |   _distutils_hack
import time:       187 |        187 |     apport_python_hook
import time:       262 |        448 |   sitecustomize
import time:      1293 |      19567 | site
import time:      1182 |       1182 |       sglang.global_config
import time:        96 |         96 |         sglang.lang
import time:       237 |        237 |           collections.abc
import time:       608 |        608 |           contextlib
import time:        42 |         42 |           _typing
import time:      2409 |       3294 |         typing
import time:       104 |        104 |           sglang.lang.backend
import time:       432 |        432 |                 weakref
import time:       277 |        709 |               copy
import time:        62 |         62 |                   _ast
import time:      1254 |       1315 |                 ast
import time:        47 |         47 |                     _opcode
import time:       480 |        526 |                   opcode
import time:       770 |       1295 |                 dis
import time:       246 |        246 |                     token
import time:        39 |         39 |                     _tokenize
import time:       858 |       1143 |                   tokenize
import time:       242 |       1384 |                 linecache
import time:      1865 |       5858 |               inspect
import time:       653 |       7220 |             dataclasses
import time:      3991 |      11211 |           sglang.lang.chat_template
import time:       223 |        223 |               numpy.version
import time:       166 |        166 |               numpy._expired_attrs_2_0
import time:       206 |        206 |                   numpy._utils._convertions
import time:       183 |        388 |                 numpy._utils
import time:       330 |        718 |               numpy._globals
import time:        36 |         36 |                 numpy._distributor_init_local
import time:       180 |        216 |               numpy._distributor_init
import time:       270 |        270 |                           _datetime
import time:       349 |        619 |                         datetime
import time:       413 |        413 |                         numpy.exceptions
import time:       416 |        416 |                         numpy._core._exceptions
import time:       282 |        282 |                             _contextvars
import time:       308 |        590 |                           contextvars
import time:       225 |        814 |                         numpy._core.printoptions
import time:       343 |        343 |                         numpy.dtypes
import time:     12067 |      14669 |                       numpy._core._multiarray_umath
import time:       303 |        303 |                         numpy._utils._inspect
import time:       415 |        718 |                       numpy._core.overrides
import time:       637 |      16022 |                     numpy._core.multiarray
import time:       326 |        326 |                     numpy._core.umath
import time:       545 |        545 |                       numbers
import time:       327 |        327 |                       numpy._core._dtype
import time:       239 |        239 |                       numpy._core._string_helpers
import time:       437 |        437 |                       numpy._core._type_aliases
import time:       454 |       2000 |                     numpy._core.numerictypes
import time:       418 |        418 |                       numpy._core._ufunc_config
import time:       102 |        102 |                               _struct
import time:       282 |        384 |                             struct
import time:       558 |        558 |                             _compat_pickle
import time:       151 |        151 |                             _pickle
import time:      1115 |       2207 |                           pickle
import time:       363 |       2570 |                         numpy._core._methods
import time:      1290 |       3859 |                       numpy._core.fromnumeric
import time:       299 |       4574 |                     numpy._core._machar
import time:       495 |        495 |                         numpy._core.shape_base
import time:       272 |        272 |                         numpy._core._asarray
import time:       898 |        898 |                         numpy._core.arrayprint
import time:      1017 |       2681 |                       numpy._core.numeric
import time:       500 |       3180 |                     numpy._core.einsumfunc
import time:       398 |        398 |                     numpy._core.function_base
import time:       453 |        453 |                     numpy._core.getlimits
import time:       326 |        326 |                     numpy._core.memmap
import time:       501 |        501 |                     numpy._core.records
import time:      1560 |       1560 |                     numpy._core._add_newdocs
import time:       524 |        524 |                     numpy._core._add_newdocs_scalars
import time:       255 |        255 |                     numpy._core._dtype_ctypes
import time:       978 |        978 |                         _ctypes
import time:       468 |        468 |                         ctypes._endian
import time:      1174 |       2619 |                       ctypes
import time:       905 |       3523 |                     numpy._core._internal
import time:       269 |        269 |                     numpy._pytesttester
import time:       655 |      34559 |                   numpy._core
import time:        32 |      34590 |                 numpy._core._multiarray_umath
import time:       379 |      34968 |               numpy.__config__
import time:       885 |        885 |                                 numpy._typing._nbit_base
import time:      1059 |       1059 |                                 numpy._typing._nested_sequence
import time:       734 |        734 |                                 numpy._typing._shape
import time:      9753 |      12429 |                               numpy._typing._array_like
import time:      2678 |       2678 |                               numpy._typing._char_codes
import time:      5371 |       5371 |                               numpy._typing._dtype_like
import time:       249 |        249 |                               numpy._typing._nbit
import time:       255 |        255 |                               numpy._typing._scalars
import time:       227 |        227 |                               numpy._typing._ufunc
import time:       486 |      21691 |                             numpy._typing
import time:       367 |        367 |                               numpy.lib._stride_tricks_impl
import time:       486 |        853 |                             numpy.lib._twodim_base_impl
import time:       234 |        234 |                               numpy.lib._array_utils_impl
import time:       226 |        460 |                             numpy.lib.array_utils
import time:       403 |        403 |                             numpy.linalg._umath_linalg
import time:      2093 |      25498 |                           numpy.linalg._linalg
import time:       244 |        244 |                           numpy.linalg.linalg
import time:       300 |      26041 |                         numpy.linalg
import time:       491 |      26532 |                       numpy.matrixlib.defmatrix
import time:       301 |      26832 |                     numpy.matrixlib
import time:       454 |        454 |                       numpy.lib._histograms_impl
import time:      1580 |       2034 |                     numpy.lib._function_base_impl
import time:       227 |        227 |                     numpy.lib.stride_tricks
import time:       623 |      29714 |                   numpy.lib._index_tricks_impl
import time:       491 |      30205 |                 numpy.lib._arraypad_impl
import time:      1126 |       1126 |                 numpy.lib._arraysetops_impl
import time:       293 |        293 |                 numpy.lib._arrayterator_impl
import time:       682 |        682 |                 numpy.lib._nanfunctions_impl
import time:       121 |        121 |                           _wmi
import time:       840 |        961 |                         platform
import time:      6044 |       6044 |                         textwrap
import time:       377 |       7381 |                       numpy.lib._utils_impl
import time:       401 |       7781 |                     numpy.lib._format_impl
import time:       223 |       8004 |                   numpy.lib.format
import time:       396 |        396 |                   numpy.lib._datasource
import time:       525 |        525 |                   numpy.lib._iotools
import time:       806 |       9730 |                 numpy.lib._npyio_impl
import time:       262 |        262 |                     numpy.lib._ufunclike_impl
import time:       443 |        704 |                   numpy.lib._type_check_impl
import time:       786 |       1490 |                 numpy.lib._polynomial_impl
import time:       564 |        564 |                 numpy.lib._shape_base_impl
import time:       284 |        284 |                 numpy.lib._version
import time:       217 |        217 |                 numpy.lib.introspect
import time:       335 |        335 |                 numpy.lib.mixins
import time:       211 |        211 |                 numpy.lib.npyio
import time:       491 |        491 |                   numpy.lib._scimath_impl
import time:       216 |        706 |                 numpy.lib.scimath
import time:       568 |      46404 |               numpy.lib
import time:       277 |        277 |               numpy._array_api_info
import time:      2675 |      85645 |             numpy
import time:      1988 |      87632 |           sglang.lang.choices
import time:       275 |        275 |                   concurrent
import time:       834 |        834 |                       traceback
import time:        46 |         46 |                         _string
import time:       756 |        801 |                       string
import time:        73 |         73 |                       atexit
import time:      1855 |       3562 |                     logging
import time:       741 |       4302 |                   concurrent.futures._base
import time:       347 |       4923 |                 concurrent.futures
import time:        50 |         50 |                   _heapq
import time:       387 |        436 |                 heapq
import time:       292 |        292 |                   _socket
import time:        95 |         95 |                     select
import time:       713 |        808 |                   selectors
import time:       112 |        112 |                   array
import time:      1981 |       3190 |                 socket
import time:        88 |         88 |                     _locale
import time:       990 |       1077 |                   locale
import time:       801 |        801 |                   signal
import time:        87 |         87 |                   fcntl
import time:       120 |        120 |                   msvcrt
import time:        36 |         36 |                   _posixsubprocess
import time:       790 |       2909 |                 subprocess
import time:      4038 |       4038 |                   _ssl
import time:       161 |        161 |                     binascii
import time:       434 |        595 |                   base64
import time:      3571 |       8203 |                 ssl
import time:       385 |        385 |                 asyncio.constants
import time:       260 |        260 |                 asyncio.coroutines
import time:       269 |        269 |                   asyncio.format_helpers
import time:       283 |        283 |                     asyncio.base_futures
import time:       347 |        347 |                     asyncio.exceptions
import time:       277 |        277 |                     asyncio.base_tasks
import time:       578 |       1483 |                   _asyncio
import time:       677 |       2428 |                 asyncio.events
import time:       377 |        377 |                 asyncio.futures
import time:       343 |        343 |                 asyncio.protocols
import time:       490 |        490 |                   asyncio.transports
import time:       240 |        240 |                   asyncio.log
import time:       817 |       1546 |                 asyncio.sslproto
import time:       258 |        258 |                     asyncio.mixins
import time:       620 |        878 |                   asyncio.locks
import time:       600 |        600 |                     asyncio.timeouts
import time:       689 |       1289 |                   asyncio.tasks
import time:       468 |       2633 |                 asyncio.staggered
import time:       326 |        326 |                 asyncio.trsock
import time:      1080 |      29033 |               asyncio.base_events
import time:       459 |        459 |               asyncio.runners
import time:       412 |        412 |               asyncio.queues
import time:       520 |        520 |               asyncio.streams
import time:       392 |        392 |               asyncio.subprocess
import time:       311 |        311 |               asyncio.taskgroups
import time:       324 |        324 |               asyncio.threads
import time:       399 |        399 |                 asyncio.base_subprocess
import time:       797 |        797 |                 asyncio.selector_events
import time:       901 |       2096 |               asyncio.unix_events
import time:       446 |      33989 |             asyncio
import time:       462 |        462 |                 multiprocessing.process
import time:       499 |        499 |                 multiprocessing.reduction
import time:       709 |       1669 |               multiprocessing.context
import time:       379 |       2047 |             multiprocessing
import time:       309 |        309 |               _queue
import time:       446 |        755 |             queue
import time:       121 |        121 |               _uuid
import time:       591 |        711 |             uuid
import time:       372 |        372 |             concurrent.futures.thread
import time:       389 |        389 |               tqdm._monitor
import time:       234 |        234 |               tqdm._tqdm_pandas
import time:        91 |         91 |                     unicodedata
import time:       579 |        670 |                   tqdm.utils
import time:      1242 |       1911 |                 tqdm.std
import time:        80 |         80 |                       _csv
import time:       509 |        588 |                     csv
import time:       301 |        301 |                     email
import time:        92 |         92 |                         zlib
import time:       374 |        374 |                           _compression
import time:       745 |        745 |                           _bz2
import time:       412 |       1530 |                         bz2
import time:       689 |        689 |                           _lzma
import time:       378 |       1066 |                         lzma
import time:       872 |       3559 |                       shutil
import time:       210 |        210 |                         zipfile._path.glob
import time:       427 |        637 |                       zipfile._path
import time:       987 |       5181 |                     zipfile
import time:       230 |        230 |                         quopri
import time:        47 |         47 |                               _bisect
import time:       247 |        294 |                             bisect
import time:        36 |         36 |                             _random
import time:        53 |         53 |                             _sha2
import time:      1252 |       1634 |                           random
import time:       849 |        849 |                             calendar
import time:       355 |       1203 |                           email._parseaddr
import time:       197 |        197 |                             email.base64mime
import time:       268 |        268 |                             email.quoprimime
import time:       488 |        488 |                             email.errors
import time:       183 |        183 |                             email.encoders
import time:       283 |       1418 |                           email.charset
import time:       509 |       4763 |                         email.utils
import time:       634 |        634 |                           email.header
import time:       347 |        981 |                         email._policybase
import time:       385 |        385 |                         email._encoded_words
import time:       189 |        189 |                         email.iterators
import time:       624 |       7168 |                       email.message
import time:       166 |        166 |                         importlib.metadata._functools
import time:       221 |        387 |                       importlib.metadata._text
import time:       315 |       7869 |                     importlib.metadata._adapters
import time:       435 |        435 |                     importlib.metadata._meta
import time:       315 |        315 |                     importlib.metadata._collections
import time:       187 |        187 |                     importlib.metadata._itertools
import time:       603 |        603 |                           tempfile
import time:       416 |        416 |                           importlib.resources.abc
import time:       355 |        355 |                           importlib.resources._adapters
import time:       441 |       1812 |                         importlib.resources._common
import time:       261 |        261 |                         importlib.resources._legacy
import time:       193 |       2266 |                       importlib.resources
import time:       480 |       2745 |                     importlib.abc
import time:      1301 |      18917 |                   importlib.metadata
import time:       543 |        543 |                     email.feedparser
import time:       268 |        810 |                   email.parser
import time:      3791 |      23517 |                 tqdm.version
import time:       565 |      25992 |               tqdm.cli
import time:       254 |        254 |               tqdm.gui
import time:       355 |      27222 |             tqdm
import time:      5455 |       5455 |             sglang.lang.ir
import time:       231 |        231 |                     _json
import time:       386 |        616 |                   json.scanner
import time:       463 |       1078 |                 json.decoder
import time:       437 |        437 |                 json.encoder
import time:       303 |       1817 |               json
import time:       847 |        847 |                   _hashlib
import time:        56 |         56 |                   _blake2
import time:       324 |       1226 |                 hashlib
import time:       706 |        706 |                   http
import time:       999 |       1705 |                 http.client
import time:       241 |        241 |                   urllib.response
import time:       269 |        509 |                 urllib.error
import time:      1291 |       4730 |               urllib.request
import time:       240 |        240 |                 pybase64._license
import time:       169 |        169 |                 pybase64._version
import time:       201 |        201 |                 pybase64._pybase64
import time:       315 |        924 |               pybase64
import time:       867 |        867 |                   urllib3.exceptions
import time:       336 |        336 |                           urllib3.util.timeout
import time:       318 |        654 |                         urllib3.util.connection
import time:       162 |        162 |                           urllib3.util.util
import time:       106 |        106 |                           brotlicffi
import time:        84 |         84 |                           brotli
import time:        78 |         78 |                           backports
import time:       516 |        943 |                         urllib3.util.request
import time:       212 |        212 |                         urllib3.util.response
import time:       491 |        491 |                         urllib3.util.retry
import time:       288 |        288 |                           hmac
import time:      7009 |       7009 |                           urllib3.util.url
import time:       313 |        313 |                           urllib3.util.ssltransport
import time:       345 |       7953 |                         urllib3.util.ssl_
import time:       194 |        194 |                         urllib3.util.wait
import time:       265 |      10710 |                       urllib3.util
import time:        32 |      10741 |                     urllib3.util.connection
import time:       652 |      11392 |                   urllib3._base_connection
import time:       629 |        629 |                   urllib3._collections
import time:       176 |        176 |                   urllib3._version
import time:        95 |         95 |                             _winapi
import time:        83 |         83 |                             winreg
import time:       348 |        526 |                           mimetypes
import time:       263 |        788 |                         urllib3.fields
import time:       262 |       1050 |                       urllib3.filepost
import time:       100 |        100 |                         brotlicffi
import time:        84 |         84 |                         brotli
import time:       189 |        189 |                           urllib3.http2
import time:       248 |        248 |                           urllib3.http2.probe
import time:       202 |        202 |                           urllib3.util.ssl_match_hostname
import time:       813 |       1451 |                         urllib3.connection
import time:       102 |        102 |                         backports
import time:       600 |       2336 |                       urllib3.response
import time:       403 |       3787 |                     urllib3._request_methods
import time:       183 |        183 |                     urllib3.util.proxy
import time:       414 |       4384 |                   urllib3.connectionpool
import time:       922 |        922 |                   urllib3.poolmanager
import time:       368 |      18735 |                 urllib3
import time:       406 |        406 |                         81d243bd2c585b0f4821__mypyc
import time:      1243 |       1243 |                         charset_normalizer.constant
import time:       239 |        239 |                           _multibytecodec
import time:       521 |        759 |                         charset_normalizer.utils
import time:       358 |        358 |                         charset_normalizer.models
