mode,pass,shard,ost_idx,wall_s,MBps
buffered,buffered  (cold),model-00030-of-00030.safetensors,15,2.48,847.3
buffered,buffered  (cold),model-00017-of-00030.safetensors,16,4.52,1031.9
buffered,buffered  (cold),model-00005-of-00030.safetensors,98,5.22,893.5
buffered,buffered  (cold),model-00011-of-00030.safetensors,59,5.25,888.4
buffered,buffered  (cold),model-00007-of-00030.safetensors,139,5.48,851.1
buffered,buffered  (cold),model-00019-of-00030.safetensors,105,5.50,902.9
buffered,buffered  (cold),model-00020-of-00030.safetensors,46,5.63,828.4
buffered,buffered  (cold),model-00026-of-00030.safetensors,59,5.65,825.5
buffered,buffered  (cold),model-00015-of-00030.safetensors,133,5.71,816.8
buffered,buffered  (cold),model-00027-of-00030.safetensors,76,5.82,801.4
buffered,buffered  (cold),model-00021-of-00030.safetensors,80,5.90,790.5
buffered,buffered  (cold),model-00028-of-00030.safetensors,23,5.92,844.5
buffered,buffered  (cold),model-00009-of-00030.safetensors,107,6.01,826.3
buffered,buffered  (cold),model-00013-of-00030.safetensors,2,6.01,831.9
buffered,buffered  (cold),model-00001-of-00030.safetensors,117,6.04,759.0
buffered,buffered  (cold),model-00023-of-00030.safetensors,70,6.12,816.9
buffered,buffered  (cold),model-00016-of-00030.safetensors,13,6.13,760.9
buffered,buffered  (cold),model-00024-of-00030.safetensors,130,6.14,808.8
buffered,buffered  (cold),model-00022-of-00030.safetensors,56,6.15,758.4
buffered,buffered  (cold),model-00025-of-00030.safetensors,15,6.19,753.5
buffered,buffered  (cold),model-00012-of-00030.safetensors,93,6.22,749.9
buffered,buffered  (cold),model-00010-of-00030.safetensors,30,6.25,746.3
buffered,buffered  (cold),model-00002-of-00030.safetensors,30,6.28,742.7
buffered,buffered  (cold),model-00003-of-00030.safetensors,30,6.29,794.9
buffered,buffered  (cold),model-00006-of-00030.safetensors,46,6.28,742.7
buffered,buffered  (cold),model-00029-of-00030.safetensors,93,6.33,784.5
buffered,buffered  (cold),model-00008-of-00030.safetensors,149,6.45,775.1
buffered,buffered  (cold),model-00004-of-00030.safetensors,11,6.47,767.6
buffered,buffered  (cold),model-00014-of-00030.safetensors,86,6.62,750.2
buffered,buffered  (cold),model-00018-of-00030.safetensors,8,25.19,198.5
direct,O_DIRECT,model-00030-of-00030.safetensors,15,9.89,212.5
direct,O_DIRECT,model-00001-of-00030.safetensors,117,11.46,400.0
