iso_time,run_index,concurrency,shard,ost_idx,bytes,wall_s,GBps
2026-07-17T10:45:42+02:00,1,32,model-00030-of-00030.safetensors,15,2101346432,4.12,0.510
2026-07-17T10:45:42+02:00,1,32,model-00001-of-00030.safetensors,117,4584408808,9.08,0.505
2026-07-17T10:45:42+02:00,1,32,model-00017-of-00030.safetensors,16,4664167408,9.08,0.514
2026-07-17T10:45:42+02:00,1,32,model-00004-of-00030.safetensors,11,4966157032,9.33,0.532
2026-07-17T10:45:42+02:00,1,32,model-00015-of-00030.safetensors,133,4664134408,9.48,0.492
2026-07-17T10:45:42+02:00,1,32,model-00021-of-00030.safetensors,80,4664167408,9.84,0.474
2026-07-17T10:45:42+02:00,1,32,model-00016-of-00030.safetensors,13,4664167408,9.87,0.473
2026-07-17T10:45:42+02:00,1,32,model-00027-of-00030.safetensors,76,4664167408,10.05,0.464
2026-07-17T10:45:42+02:00,1,32,model-00014-of-00030.safetensors,86,4966157056,10.10,0.492
2026-07-17T10:45:42+02:00,1,32,model-00025-of-00030.safetensors,15,4664134408,10.12,0.461
2026-07-17T10:45:42+02:00,1,32,model-00006-of-00030.safetensors,46,4664167408,10.24,0.455
2026-07-17T10:45:42+02:00,1,32,model-00012-of-00030.safetensors,93,4664167408,10.49,0.445
2026-07-17T10:45:42+02:00,1,32,model-00005-of-00030.safetensors,98,4664134408,10.54,0.443
2026-07-17T10:45:42+02:00,1,32,model-00020-of-00030.safetensors,46,4664134408,10.55,0.442
2026-07-17T10:45:42+02:00,1,32,model-00023-of-00030.safetensors,70,4999711728,10.57,0.473
2026-07-17T10:45:42+02:00,1,32,model-00022-of-00030.safetensors,56,4664167408,10.65,0.438
2026-07-17T10:45:42+02:00,1,32,model-00028-of-00030.safetensors,23,4999711728,10.66,0.469
2026-07-17T10:45:42+02:00,1,32,model-00013-of-00030.safetensors,2,4999711728,10.83,0.462
2026-07-17T10:45:42+02:00,1,32,model-00024-of-00030.safetensors,130,4966157056,10.95,0.454
2026-07-17T10:45:42+02:00,1,32,model-00009-of-00030.safetensors,107,4966157056,11.41,0.435
2026-07-17T10:45:42+02:00,1,32,model-00019-of-00030.safetensors,105,4966157056,11.45,0.434
2026-07-17T10:45:42+02:00,1,32,model-00008-of-00030.safetensors,149,4999711728,11.99,0.417
2026-07-17T10:45:42+02:00,1,32,model-00029-of-00030.safetensors,93,4966173536,12.55,0.396
2026-07-17T10:45:42+02:00,1,32,model-00007-of-00030.safetensors,139,4664167408,13.49,0.346
2026-07-17T10:45:42+02:00,1,32,model-00010-of-00030.safetensors,30,4664134408,14.16,0.329
2026-07-17T10:45:42+02:00,1,32,model-00002-of-00030.safetensors,30,4664167376,14.73,0.317
2026-07-17T10:45:42+02:00,1,32,model-00003-of-00030.safetensors,30,4999711704,15.05,0.332
2026-07-17T10:45:42+02:00,1,32,model-00011-of-00030.safetensors,59,4664167408,39.07,0.119
2026-07-17T10:45:42+02:00,1,32,model-00026-of-00030.safetensors,59,4664167408,42.91,0.109
2026-07-17T10:45:42+02:00,1,32,model-00018-of-00030.safetensors,8,4999711728,147.99,0.034
2026-07-17T10:48:10+02:00,2,32,model-00030-of-00030.safetensors,15,2101346432,6.28,0.335
2026-07-17T10:48:10+02:00,2,32,model-00001-of-00030.safetensors,117,4584408808,11.43,0.401
2026-07-17T10:48:10+02:00,2,32,model-00022-of-00030.safetensors,56,4664167408,11.96,0.390
2026-07-17T10:48:10+02:00,2,32,model-00028-of-00030.safetensors,23,4999711728,12.49,0.400
2026-07-17T10:48:10+02:00,2,32,model-00027-of-00030.safetensors,76,4664167408,12.59,0.370
2026-07-17T10:48:10+02:00,2,32,model-00021-of-00030.safetensors,80,4664167408,12.61,0.370
2026-07-17T10:48:10+02:00,2,32,model-00005-of-00030.safetensors,98,4664134408,12.82,0.364
2026-07-17T10:48:10+02:00,2,32,model-00017-of-00030.safetensors,16,4664167408,12.89,0.362
2026-07-17T10:48:10+02:00,2,32,model-00020-of-00030.safetensors,46,4664134408,13.06,0.357
2026-07-17T10:48:10+02:00,2,32,model-00006-of-00030.safetensors,46,4664167408,13.20,0.353
2026-07-17T10:48:10+02:00,2,32,model-00012-of-00030.safetensors,93,4664167408,13.20,0.353
2026-07-17T10:48:10+02:00,2,32,model-00008-of-00030.safetensors,149,4999711728,13.24,0.378
2026-07-17T10:48:10+02:00,2,32,model-00026-of-00030.safetensors,59,4664167408,13.36,0.349
2026-07-17T10:48:10+02:00,2,32,model-00002-of-00030.safetensors,30,4664167376,13.50,0.345
2026-07-17T10:48:10+02:00,2,32,model-00024-of-00030.safetensors,130,4966157056,13.51,0.368
2026-07-17T10:48:10+02:00,2,32,model-00023-of-00030.safetensors,70,4999711728,13.53,0.370
2026-07-17T10:48:10+02:00,2,32,model-00025-of-00030.safetensors,15,4664134408,13.56,0.344
2026-07-17T10:48:10+02:00,2,32,model-00013-of-00030.safetensors,2,4999711728,13.71,0.365
2026-07-17T10:48:10+02:00,2,32,model-00014-of-00030.safetensors,86,4966157056,13.73,0.362
2026-07-17T10:48:10+02:00,2,32,model-00011-of-00030.safetensors,59,4664167408,13.85,0.337
2026-07-17T10:48:10+02:00,2,32,model-00016-of-00030.safetensors,13,4664167408,13.91,0.335
2026-07-17T10:48:10+02:00,2,32,model-00019-of-00030.safetensors,105,4966157056,14.15,0.351
2026-07-17T10:48:10+02:00,2,32,model-00010-of-00030.safetensors,30,4664134408,14.26,0.327
2026-07-17T10:48:10+02:00,2,32,model-00029-of-00030.safetensors,93,4966173536,14.47,0.343
2026-07-17T10:48:10+02:00,2,32,model-00003-of-00030.safetensors,30,4999711704,15.04,0.332
2026-07-17T10:48:10+02:00,2,32,model-00007-of-00030.safetensors,139,4664167408,15.81,0.295
2026-07-17T10:48:10+02:00,2,32,model-00004-of-00030.safetensors,11,4966157032,18.31,0.271
2026-07-17T10:48:10+02:00,2,32,model-00009-of-00030.safetensors,107,4966157056,21.27,0.233
2026-07-17T10:48:10+02:00,2,32,model-00015-of-00030.safetensors,133,4664134408,25.68,0.182
2026-07-17T10:48:10+02:00,2,32,model-00018-of-00030.safetensors,8,4999711728,132.84,0.038
2026-07-17T10:50:24+02:00,3,32,model-00030-of-00030.safetensors,15,2101346432,5.36,0.392
2026-07-17T10:50:24+02:00,3,32,model-00001-of-00030.safetensors,117,4584408808,11.91,0.385
2026-07-17T10:50:24+02:00,3,32,model-00017-of-00030.safetensors,16,4664167408,12.16,0.384
2026-07-17T10:50:24+02:00,3,32,model-00008-of-00030.safetensors,149,4999711728,12.51,0.400
2026-07-17T10:50:24+02:00,3,32,model-00015-of-00030.safetensors,133,4664134408,12.59,0.370
2026-07-17T10:50:24+02:00,3,32,model-00012-of-00030.safetensors,93,4664167408,12.68,0.368
2026-07-17T10:50:24+02:00,3,32,model-00016-of-00030.safetensors,13,4664167408,12.75,0.366
2026-07-17T10:50:24+02:00,3,32,model-00022-of-00030.safetensors,56,4664167408,12.82,0.364
2026-07-17T10:50:24+02:00,3,32,model-00024-of-00030.safetensors,130,4966157056,12.95,0.383
2026-07-17T10:50:24+02:00,3,32,model-00009-of-00030.safetensors,107,4966157056,13.00,0.382
2026-07-17T10:50:24+02:00,3,32,model-00025-of-00030.safetensors,15,4664134408,13.17,0.354
2026-07-17T10:50:24+02:00,3,32,model-00004-of-00030.safetensors,11,4966157032,13.32,0.373
2026-07-17T10:50:24+02:00,3,32,model-00026-of-00030.safetensors,59,4664167408,13.34,0.350
2026-07-17T10:50:24+02:00,3,32,model-00023-of-00030.safetensors,70,4999711728,13.43,0.372
2026-07-17T10:50:24+02:00,3,32,model-00013-of-00030.safetensors,2,4999711728,13.46,0.371
2026-07-17T10:50:24+02:00,3,32,model-00005-of-00030.safetensors,98,4664134408,13.54,0.344
2026-07-17T10:50:24+02:00,3,32,model-00028-of-00030.safetensors,23,4999711728,13.59,0.368
2026-07-17T10:50:24+02:00,3,32,model-00027-of-00030.safetensors,76,4664167408,13.64,0.342
2026-07-17T10:50:24+02:00,3,32,model-00006-of-00030.safetensors,46,4664167408,14.16,0.329
2026-07-17T10:50:24+02:00,3,32,model-00029-of-00030.safetensors,93,4966173536,14.18,0.350
2026-07-17T10:50:24+02:00,3,32,model-00021-of-00030.safetensors,80,4664167408,14.23,0.328
2026-07-17T10:50:24+02:00,3,32,model-00011-of-00030.safetensors,59,4664167408,14.25,0.327
2026-07-17T10:50:24+02:00,3,32,model-00019-of-00030.safetensors,105,4966157056,14.54,0.342
2026-07-17T10:50:24+02:00,3,32,model-00020-of-00030.safetensors,46,4664134408,14.71,0.317
2026-07-17T10:50:24+02:00,3,32,model-00010-of-00030.safetensors,30,4664134408,14.81,0.315
2026-07-17T10:50:24+02:00,3,32,model-00014-of-00030.safetensors,86,4966157056,14.95,0.332
2026-07-17T10:50:24+02:00,3,32,model-00002-of-00030.safetensors,30,4664167376,15.35,0.304
2026-07-17T10:50:24+02:00,3,32,model-00003-of-00030.safetensors,30,4999711704,15.61,0.320
2026-07-17T10:50:24+02:00,3,32,model-00007-of-00030.safetensors,139,4664167408,15.78,0.296
2026-07-17T10:50:24+02:00,3,32,model-00018-of-00030.safetensors,8,4999711728,147.77,0.034
2026-07-17T10:52:52+02:00,4,32,model-00030-of-00030.safetensors,15,2101346432,5.66,0.371
2026-07-17T10:52:52+02:00,4,32,model-00017-of-00030.safetensors,16,4664167408,11.19,0.417
2026-07-17T10:52:52+02:00,4,32,model-00012-of-00030.safetensors,93,4664167408,11.31,0.412
2026-07-17T10:52:52+02:00,4,32,model-00008-of-00030.safetensors,149,4999711728,11.65,0.429
2026-07-17T10:52:52+02:00,4,32,model-00022-of-00030.safetensors,56,4664167408,11.72,0.398
2026-07-17T10:52:52+02:00,4,32,model-00005-of-00030.safetensors,98,4664134408,11.75,0.397
2026-07-17T10:52:52+02:00,4,32,model-00004-of-00030.safetensors,11,4966157032,11.98,0.415
2026-07-17T10:52:52+02:00,4,32,model-00001-of-00030.safetensors,117,4584408808,12.05,0.380
2026-07-17T10:52:52+02:00,4,32,model-00029-of-00030.safetensors,93,4966173536,12.35,0.402
2026-07-17T10:52:52+02:00,4,32,model-00015-of-00030.safetensors,133,4664134408,12.42,0.376
2026-07-17T10:52:52+02:00,4,32,model-00013-of-00030.safetensors,2,4999711728,12.44,0.402
2026-07-17T10:52:52+02:00,4,32,model-00009-of-00030.safetensors,107,4966157056,12.59,0.394
2026-07-17T10:52:52+02:00,4,32,model-00021-of-00030.safetensors,80,4664167408,12.60,0.370
2026-07-17T10:52:52+02:00,4,32,model-00027-of-00030.safetensors,76,4664167408,12.73,0.366
2026-07-17T10:52:52+02:00,4,32,model-00025-of-00030.safetensors,15,4664134408,12.88,0.362
2026-07-17T10:52:52+02:00,4,32,model-00024-of-00030.safetensors,130,4966157056,12.91,0.385
2026-07-17T10:52:52+02:00,4,32,model-00023-of-00030.safetensors,70,4999711728,13.19,0.379
2026-07-17T10:52:52+02:00,4,32,model-00011-of-00030.safetensors,59,4664167408,13.29,0.351
2026-07-17T10:52:52+02:00,4,32,model-00026-of-00030.safetensors,59,4664167408,13.33,0.350
2026-07-17T10:52:52+02:00,4,32,model-00028-of-00030.safetensors,23,4999711728,13.68,0.365
2026-07-17T10:52:52+02:00,4,32,model-00014-of-00030.safetensors,86,4966157056,13.90,0.357
2026-07-17T10:52:52+02:00,4,32,model-00019-of-00030.safetensors,105,4966157056,14.65,0.339
2026-07-17T10:52:52+02:00,4,32,model-00016-of-00030.safetensors,13,4664167408,14.97,0.312
2026-07-17T10:52:52+02:00,4,32,model-00007-of-00030.safetensors,139,4664167408,15.04,0.310
2026-07-17T10:52:52+02:00,4,32,model-00006-of-00030.safetensors,46,4664167408,15.66,0.298
2026-07-17T10:52:52+02:00,4,32,model-00020-of-00030.safetensors,46,4664134408,16.10,0.290
2026-07-17T10:52:52+02:00,4,32,model-00010-of-00030.safetensors,30,4664134408,18.50,0.252
2026-07-17T10:52:52+02:00,4,32,model-00002-of-00030.safetensors,30,4664167376,18.97,0.246
2026-07-17T10:52:52+02:00,4,32,model-00003-of-00030.safetensors,30,4999711704,19.89,0.251
2026-07-17T10:52:52+02:00,4,32,model-00018-of-00030.safetensors,8,4999711728,144.31,0.035
2026-07-17T10:55:17+02:00,5,32,model-00030-of-00030.safetensors,15,2101346432,6.13,0.343
2026-07-17T10:55:17+02:00,5,32,model-00025-of-00030.safetensors,15,4664134408,11.83,0.394
2026-07-17T10:55:17+02:00,5,32,model-00012-of-00030.safetensors,93,4664167408,12.10,0.385
2026-07-17T10:55:17+02:00,5,32,model-00017-of-00030.safetensors,16,4664167408,12.33,0.378
2026-07-17T10:55:17+02:00,5,32,model-00016-of-00030.safetensors,13,4664167408,12.54,0.372
2026-07-17T10:55:17+02:00,5,32,model-00022-of-00030.safetensors,56,4664167408,12.56,0.371
2026-07-17T10:55:17+02:00,5,32,model-00004-of-00030.safetensors,11,4966157032,12.59,0.394
2026-07-17T10:55:17+02:00,5,32,model-00028-of-00030.safetensors,23,4999711728,12.68,0.394
2026-07-17T10:55:17+02:00,5,32,model-00027-of-00030.safetensors,76,4664167408,12.71,0.367
2026-07-17T10:55:17+02:00,5,32,model-00015-of-00030.safetensors,133,4664134408,12.73,0.366
2026-07-17T10:55:17+02:00,5,32,model-00005-of-00030.safetensors,98,4664134408,13.21,0.353
2026-07-17T10:55:17+02:00,5,32,model-00021-of-00030.safetensors,80,4664167408,13.21,0.353
2026-07-17T10:55:17+02:00,5,32,model-00020-of-00030.safetensors,46,4664134408,13.66,0.341
2026-07-17T10:55:17+02:00,5,32,model-00026-of-00030.safetensors,59,4664167408,13.77,0.339
2026-07-17T10:55:17+02:00,5,32,model-00029-of-00030.safetensors,93,4966173536,13.89,0.358
2026-07-17T10:55:17+02:00,5,32,model-00009-of-00030.safetensors,107,4966157056,13.91,0.357
2026-07-17T10:55:17+02:00,5,32,model-00023-of-00030.safetensors,70,4999711728,14.04,0.356
2026-07-17T10:55:17+02:00,5,32,model-00006-of-00030.safetensors,46,4664167408,14.27,0.327
2026-07-17T10:55:17+02:00,5,32,model-00001-of-00030.safetensors,117,4584408808,14.47,0.317
2026-07-17T10:55:17+02:00,5,32,model-00019-of-00030.safetensors,105,4966157056,14.46,0.343
2026-07-17T10:55:17+02:00,5,32,model-00011-of-00030.safetensors,59,4664167408,14.60,0.319
2026-07-17T10:55:17+02:00,5,32,model-00014-of-00030.safetensors,86,4966157056,14.62,0.340
2026-07-17T10:55:17+02:00,5,32,model-00013-of-00030.safetensors,2,4999711728,14.67,0.341
2026-07-17T10:55:17+02:00,5,32,model-00024-of-00030.safetensors,130,4966157056,15.01,0.331
2026-07-17T10:55:17+02:00,5,32,model-00010-of-00030.safetensors,30,4664134408,15.08,0.309
2026-07-17T10:55:17+02:00,5,32,model-00002-of-00030.safetensors,30,4664167376,15.15,0.308
2026-07-17T10:55:17+02:00,5,32,model-00007-of-00030.safetensors,139,4664167408,15.59,0.299
2026-07-17T10:55:17+02:00,5,32,model-00003-of-00030.safetensors,30,4999711704,16.69,0.300
2026-07-17T10:55:17+02:00,5,32,model-00008-of-00030.safetensors,149,4999711728,22.25,0.225
2026-07-17T10:55:17+02:00,5,32,model-00018-of-00030.safetensors,8,4999711728,177.98,0.028
