mode,pass,shard,ost_idx,wall_s,MBps
direct,O_DIRECT  (cold),model-00030-of-00030.safetensors,15,6.30,333.5
direct,O_DIRECT  (cold),model-00027-of-00030.safetensors,76,10.37,449.8
direct,O_DIRECT  (cold),model-00022-of-00030.safetensors,56,10.90,427.9
direct,O_DIRECT  (cold),model-00001-of-00030.safetensors,117,11.46,400.0
direct,O_DIRECT  (cold),model-00023-of-00030.safetensors,70,11.44,437.0
direct,O_DIRECT  (cold),model-00015-of-00030.safetensors,133,12.37,377.1
direct,O_DIRECT  (cold),model-00008-of-00030.safetensors,149,12.40,403.2
direct,O_DIRECT  (cold),model-00017-of-00030.safetensors,16,12.46,374.3
direct,O_DIRECT  (cold),model-00004-of-00030.safetensors,11,13.12,378.5
direct,O_DIRECT  (cold),model-00009-of-00030.safetensors,107,13.28,374.0
direct,O_DIRECT  (cold),model-00016-of-00030.safetensors,13,13.45,346.8
direct,O_DIRECT  (cold),model-00028-of-00030.safetensors,23,13.52,369.8
direct,O_DIRECT  (cold),model-00005-of-00030.safetensors,98,13.63,342.2
direct,O_DIRECT  (cold),model-00025-of-00030.safetensors,15,13.71,340.2
direct,O_DIRECT  (cold),model-00026-of-00030.safetensors,59,13.78,338.5
direct,O_DIRECT  (cold),model-00012-of-00030.safetensors,93,13.85,336.8
direct,O_DIRECT  (cold),model-00029-of-00030.safetensors,93,14.10,352.2
direct,O_DIRECT  (cold),model-00011-of-00030.safetensors,59,14.50,321.7
direct,O_DIRECT  (cold),model-00021-of-00030.safetensors,80,14.62,319.0
direct,O_DIRECT  (cold),model-00020-of-00030.safetensors,46,14.81,314.9
direct,O_DIRECT  (cold),model-00007-of-00030.safetensors,139,15.04,310.1
direct,O_DIRECT  (cold),model-00013-of-00030.safetensors,2,15.14,330.2
direct,O_DIRECT  (cold),model-00006-of-00030.safetensors,46,15.27,305.4
direct,O_DIRECT  (cold),model-00003-of-00030.safetensors,30,15.57,321.1
direct,O_DIRECT  (cold),model-00019-of-00030.safetensors,105,15.57,319.0
direct,O_DIRECT  (cold),model-00014-of-00030.safetensors,86,15.57,319.0
direct,O_DIRECT  (cold),model-00010-of-00030.safetensors,30,15.70,297.1
direct,O_DIRECT  (cold),model-00002-of-00030.safetensors,30,16.25,287.0
direct,O_DIRECT  (cold),model-00024-of-00030.safetensors,130,16.35,303.7
direct,O_DIRECT  (cold),model-00018-of-00030.safetensors,8,175.27,28.5
buffered,buffered  (cold),model-00030-of-00030.safetensors,15,3.09,680.0
buffered,buffered  (cold),model-00001-of-00030.safetensors,117,4.85,945.2
buffered,buffered  (cold),model-00011-of-00030.safetensors,59,5.06,921.8
