iso_time,run_index,concurrency,shard,ost_idx,bytes,wall_s,GBps
2026-07-17T10:45:39+02:00,1,32,model-00030-of-00030.safetensors,15,2101346432,5.60,0.375
2026-07-17T10:45:39+02:00,1,32,model-00001-of-00030.safetensors,117,4584408808,11.15,0.411
2026-07-17T10:45:39+02:00,1,32,model-00017-of-00030.safetensors,16,4664167408,11.50,0.406
2026-07-17T10:45:39+02:00,1,32,model-00025-of-00030.safetensors,15,4664134408,12.03,0.388
2026-07-17T10:45:39+02:00,1,32,model-00005-of-00030.safetensors,98,4664134408,12.14,0.384
2026-07-17T10:45:39+02:00,1,32,model-00022-of-00030.safetensors,56,4664167408,12.19,0.383
2026-07-17T10:45:39+02:00,1,32,model-00004-of-00030.safetensors,11,4966157032,12.29,0.404
2026-07-17T10:45:39+02:00,1,32,model-00006-of-00030.safetensors,46,4664167408,12.40,0.376
2026-07-17T10:45:39+02:00,1,32,model-00008-of-00030.safetensors,149,4999711728,12.43,0.402
2026-07-17T10:45:39+02:00,1,32,model-00015-of-00030.safetensors,133,4664134408,12.44,0.375
2026-07-17T10:45:39+02:00,1,32,model-00020-of-00030.safetensors,46,4664134408,12.52,0.373
2026-07-17T10:45:39+02:00,1,32,model-00028-of-00030.safetensors,23,4999711728,12.68,0.394
2026-07-17T10:45:39+02:00,1,32,model-00027-of-00030.safetensors,76,4664167408,12.69,0.368
2026-07-17T10:45:39+02:00,1,32,model-00021-of-00030.safetensors,80,4664167408,12.79,0.365
2026-07-17T10:45:39+02:00,1,32,model-00016-of-00030.safetensors,13,4664167408,12.84,0.363
2026-07-17T10:45:39+02:00,1,32,model-00014-of-00030.safetensors,86,4966157056,13.06,0.380
2026-07-17T10:45:39+02:00,1,32,model-00012-of-00030.safetensors,93,4664167408,13.45,0.347
2026-07-17T10:45:39+02:00,1,32,model-00023-of-00030.safetensors,70,4999711728,13.53,0.370
2026-07-17T10:45:39+02:00,1,32,model-00013-of-00030.safetensors,2,4999711728,13.79,0.363
2026-07-17T10:45:39+02:00,1,32,model-00024-of-00030.safetensors,130,4966157056,13.94,0.356
2026-07-17T10:45:39+02:00,1,32,model-00029-of-00030.safetensors,93,4966173536,14.31,0.347
2026-07-17T10:45:39+02:00,1,32,model-00009-of-00030.safetensors,107,4966157056,14.37,0.346
2026-07-17T10:45:39+02:00,1,32,model-00019-of-00030.safetensors,105,4966157056,14.44,0.344
2026-07-17T10:45:39+02:00,1,32,model-00002-of-00030.safetensors,30,4664167376,14.80,0.315
2026-07-17T10:45:39+02:00,1,32,model-00010-of-00030.safetensors,30,4664134408,14.82,0.315
2026-07-17T10:45:39+02:00,1,32,model-00003-of-00030.safetensors,30,4999711704,15.60,0.320
2026-07-17T10:45:39+02:00,1,32,model-00007-of-00030.safetensors,139,4664167408,16.47,0.283
2026-07-17T10:45:39+02:00,1,32,model-00011-of-00030.safetensors,59,4664167408,42.01,0.111
2026-07-17T10:45:39+02:00,1,32,model-00026-of-00030.safetensors,59,4664167408,45.87,0.102
2026-07-17T10:45:39+02:00,1,32,model-00018-of-00030.safetensors,8,4999711728,150.95,0.033
2026-07-17T10:48:10+02:00,2,32,model-00030-of-00030.safetensors,15,2101346432,6.30,0.334
2026-07-17T10:48:10+02:00,2,32,model-00001-of-00030.safetensors,117,4584408808,11.46,0.400
2026-07-17T10:48:10+02:00,2,32,model-00022-of-00030.safetensors,56,4664167408,11.98,0.389
2026-07-17T10:48:10+02:00,2,32,model-00028-of-00030.safetensors,23,4999711728,12.52,0.399
2026-07-17T10:48:10+02:00,2,32,model-00027-of-00030.safetensors,76,4664167408,12.61,0.370
2026-07-17T10:48:10+02:00,2,32,model-00021-of-00030.safetensors,80,4664167408,12.65,0.369
2026-07-17T10:48:10+02:00,2,32,model-00005-of-00030.safetensors,98,4664134408,12.85,0.363
2026-07-17T10:48:10+02:00,2,32,model-00017-of-00030.safetensors,16,4664167408,12.93,0.361
2026-07-17T10:48:10+02:00,2,32,model-00020-of-00030.safetensors,46,4664134408,13.09,0.356
2026-07-17T10:48:10+02:00,2,32,model-00006-of-00030.safetensors,46,4664167408,13.23,0.353
2026-07-17T10:48:10+02:00,2,32,model-00012-of-00030.safetensors,93,4664167408,13.22,0.353
2026-07-17T10:48:10+02:00,2,32,model-00008-of-00030.safetensors,149,4999711728,13.26,0.377
2026-07-17T10:48:10+02:00,2,32,model-00026-of-00030.safetensors,59,4664167408,13.34,0.350
2026-07-17T10:48:10+02:00,2,32,model-00002-of-00030.safetensors,30,4664167376,13.53,0.345
2026-07-17T10:48:10+02:00,2,32,model-00024-of-00030.safetensors,130,4966157056,13.53,0.367
2026-07-17T10:48:10+02:00,2,32,model-00025-of-00030.safetensors,15,4664134408,13.60,0.343
2026-07-17T10:48:10+02:00,2,32,model-00023-of-00030.safetensors,70,4999711728,13.71,0.365
2026-07-17T10:48:10+02:00,2,32,model-00013-of-00030.safetensors,2,4999711728,13.74,0.364
2026-07-17T10:48:10+02:00,2,32,model-00014-of-00030.safetensors,86,4966157056,13.75,0.361
2026-07-17T10:48:10+02:00,2,32,model-00011-of-00030.safetensors,59,4664167408,13.88,0.336
2026-07-17T10:48:10+02:00,2,32,model-00016-of-00030.safetensors,13,4664167408,13.96,0.334
2026-07-17T10:48:10+02:00,2,32,model-00019-of-00030.safetensors,105,4966157056,14.17,0.350
2026-07-17T10:48:10+02:00,2,32,model-00010-of-00030.safetensors,30,4664134408,14.29,0.326
2026-07-17T10:48:10+02:00,2,32,model-00029-of-00030.safetensors,93,4966173536,14.49,0.343
2026-07-17T10:48:10+02:00,2,32,model-00003-of-00030.safetensors,30,4999711704,15.07,0.332
2026-07-17T10:48:10+02:00,2,32,model-00007-of-00030.safetensors,139,4664167408,15.86,0.294
2026-07-17T10:48:10+02:00,2,32,model-00004-of-00030.safetensors,11,4966157032,18.33,0.271
2026-07-17T10:48:10+02:00,2,32,model-00009-of-00030.safetensors,107,4966157056,21.31,0.233
2026-07-17T10:48:10+02:00,2,32,model-00015-of-00030.safetensors,133,4664134408,25.70,0.181
2026-07-17T10:48:10+02:00,2,32,model-00018-of-00030.safetensors,8,4999711728,132.86,0.038
2026-07-17T10:50:24+02:00,3,32,model-00030-of-00030.safetensors,15,2101346432,5.37,0.391
2026-07-17T10:50:24+02:00,3,32,model-00001-of-00030.safetensors,117,4584408808,11.91,0.385
2026-07-17T10:50:24+02:00,3,32,model-00017-of-00030.safetensors,16,4664167408,12.17,0.383
2026-07-17T10:50:24+02:00,3,32,model-00008-of-00030.safetensors,149,4999711728,12.52,0.399
2026-07-17T10:50:24+02:00,3,32,model-00015-of-00030.safetensors,133,4664134408,12.61,0.370
2026-07-17T10:50:24+02:00,3,32,model-00012-of-00030.safetensors,93,4664167408,12.71,0.367
2026-07-17T10:50:24+02:00,3,32,model-00016-of-00030.safetensors,13,4664167408,12.76,0.366
2026-07-17T10:50:24+02:00,3,32,model-00022-of-00030.safetensors,56,4664167408,12.83,0.364
2026-07-17T10:50:24+02:00,3,32,model-00024-of-00030.safetensors,130,4966157056,12.96,0.383
2026-07-17T10:50:24+02:00,3,32,model-00009-of-00030.safetensors,107,4966157056,13.00,0.382
2026-07-17T10:50:24+02:00,3,32,model-00025-of-00030.safetensors,15,4664134408,13.18,0.354
2026-07-17T10:50:24+02:00,3,32,model-00004-of-00030.safetensors,11,4966157032,13.32,0.373
2026-07-17T10:50:24+02:00,3,32,model-00026-of-00030.safetensors,59,4664167408,13.34,0.350
2026-07-17T10:50:24+02:00,3,32,model-00013-of-00030.safetensors,2,4999711728,13.45,0.372
2026-07-17T10:50:24+02:00,3,32,model-00023-of-00030.safetensors,70,4999711728,13.44,0.372
2026-07-17T10:50:24+02:00,3,32,model-00005-of-00030.safetensors,98,4664134408,13.55,0.344
2026-07-17T10:50:24+02:00,3,32,model-00028-of-00030.safetensors,23,4999711728,13.58,0.368
2026-07-17T10:50:24+02:00,3,32,model-00027-of-00030.safetensors,76,4664167408,13.64,0.342
2026-07-17T10:50:24+02:00,3,32,model-00006-of-00030.safetensors,46,4664167408,14.17,0.329
2026-07-17T10:50:24+02:00,3,32,model-00029-of-00030.safetensors,93,4966173536,14.20,0.350
2026-07-17T10:50:24+02:00,3,32,model-00021-of-00030.safetensors,80,4664167408,14.23,0.328
2026-07-17T10:50:24+02:00,3,32,model-00011-of-00030.safetensors,59,4664167408,14.26,0.327
2026-07-17T10:50:24+02:00,3,32,model-00019-of-00030.safetensors,105,4966157056,14.55,0.341
2026-07-17T10:50:24+02:00,3,32,model-00020-of-00030.safetensors,46,4664134408,14.71,0.317
2026-07-17T10:50:24+02:00,3,32,model-00010-of-00030.safetensors,30,4664134408,14.82,0.315
2026-07-17T10:50:24+02:00,3,32,model-00014-of-00030.safetensors,86,4966157056,14.95,0.332
2026-07-17T10:50:24+02:00,3,32,model-00002-of-00030.safetensors,30,4664167376,15.35,0.304
2026-07-17T10:50:24+02:00,3,32,model-00003-of-00030.safetensors,30,4999711704,15.62,0.320
2026-07-17T10:50:24+02:00,3,32,model-00007-of-00030.safetensors,139,4664167408,15.78,0.296
2026-07-17T10:50:24+02:00,3,32,model-00018-of-00030.safetensors,8,4999711728,147.17,0.034
2026-07-17T10:52:51+02:00,4,32,model-00030-of-00030.safetensors,15,2101346432,6.25,0.336
2026-07-17T10:52:51+02:00,4,32,model-00017-of-00030.safetensors,16,4664167408,11.79,0.396
2026-07-17T10:52:51+02:00,4,32,model-00012-of-00030.safetensors,93,4664167408,11.88,0.393
2026-07-17T10:52:51+02:00,4,32,model-00008-of-00030.safetensors,149,4999711728,12.24,0.408
2026-07-17T10:52:51+02:00,4,32,model-00022-of-00030.safetensors,56,4664167408,12.32,0.379
2026-07-17T10:52:51+02:00,4,32,model-00005-of-00030.safetensors,98,4664134408,12.34,0.378
2026-07-17T10:52:51+02:00,4,32,model-00004-of-00030.safetensors,11,4966157032,12.57,0.395
2026-07-17T10:52:51+02:00,4,32,model-00001-of-00030.safetensors,117,4584408808,12.64,0.363
2026-07-17T10:52:51+02:00,4,32,model-00029-of-00030.safetensors,93,4966173536,12.95,0.383
2026-07-17T10:52:51+02:00,4,32,model-00015-of-00030.safetensors,133,4664134408,13.02,0.358
2026-07-17T10:52:51+02:00,4,32,model-00013-of-00030.safetensors,2,4999711728,13.07,0.383
2026-07-17T10:52:51+02:00,4,32,model-00009-of-00030.safetensors,107,4966157056,13.19,0.377
2026-07-17T10:52:51+02:00,4,32,model-00021-of-00030.safetensors,80,4664167408,13.19,0.354
2026-07-17T10:52:51+02:00,4,32,model-00027-of-00030.safetensors,76,4664167408,13.32,0.350
2026-07-17T10:52:51+02:00,4,32,model-00025-of-00030.safetensors,15,4664134408,13.48,0.346
2026-07-17T10:52:51+02:00,4,32,model-00024-of-00030.safetensors,130,4966157056,13.51,0.368
2026-07-17T10:52:51+02:00,4,32,model-00023-of-00030.safetensors,70,4999711728,13.79,0.363
2026-07-17T10:52:51+02:00,4,32,model-00011-of-00030.safetensors,59,4664167408,13.88,0.336
2026-07-17T10:52:51+02:00,4,32,model-00026-of-00030.safetensors,59,4664167408,13.93,0.335
2026-07-17T10:52:51+02:00,4,32,model-00028-of-00030.safetensors,23,4999711728,14.27,0.350
2026-07-17T10:52:51+02:00,4,32,model-00014-of-00030.safetensors,86,4966157056,14.50,0.342
2026-07-17T10:52:51+02:00,4,32,model-00019-of-00030.safetensors,105,4966157056,15.26,0.325
2026-07-17T10:52:51+02:00,4,32,model-00016-of-00030.safetensors,13,4664167408,15.55,0.300
2026-07-17T10:52:51+02:00,4,32,model-00007-of-00030.safetensors,139,4664167408,15.65,0.298
2026-07-17T10:52:51+02:00,4,32,model-00006-of-00030.safetensors,46,4664167408,16.25,0.287
2026-07-17T10:52:51+02:00,4,32,model-00020-of-00030.safetensors,46,4664134408,16.69,0.279
2026-07-17T10:52:51+02:00,4,32,model-00010-of-00030.safetensors,30,4664134408,19.10,0.244
2026-07-17T10:52:51+02:00,4,32,model-00002-of-00030.safetensors,30,4664167376,19.56,0.238
2026-07-17T10:52:51+02:00,4,32,model-00003-of-00030.safetensors,30,4999711704,20.47,0.244
2026-07-17T10:52:51+02:00,4,32,model-00018-of-00030.safetensors,8,4999711728,144.91,0.035
2026-07-17T10:55:17+02:00,5,32,model-00030-of-00030.safetensors,15,2101346432,6.14,0.342
2026-07-17T10:55:17+02:00,5,32,model-00025-of-00030.safetensors,15,4664134408,11.84,0.394
2026-07-17T10:55:17+02:00,5,32,model-00012-of-00030.safetensors,93,4664167408,12.11,0.385
2026-07-17T10:55:17+02:00,5,32,model-00017-of-00030.safetensors,16,4664167408,12.32,0.379
2026-07-17T10:55:17+02:00,5,32,model-00016-of-00030.safetensors,13,4664167408,12.53,0.372
2026-07-17T10:55:17+02:00,5,32,model-00022-of-00030.safetensors,56,4664167408,12.57,0.371
2026-07-17T10:55:17+02:00,5,32,model-00004-of-00030.safetensors,11,4966157032,12.60,0.394
2026-07-17T10:55:17+02:00,5,32,model-00015-of-00030.safetensors,133,4664134408,12.61,0.370
2026-07-17T10:55:17+02:00,5,32,model-00028-of-00030.safetensors,23,4999711728,12.70,0.394
2026-07-17T10:55:17+02:00,5,32,model-00027-of-00030.safetensors,76,4664167408,12.72,0.367
2026-07-17T10:55:17+02:00,5,32,model-00005-of-00030.safetensors,98,4664134408,13.22,0.353
2026-07-17T10:55:17+02:00,5,32,model-00021-of-00030.safetensors,80,4664167408,13.23,0.353
2026-07-17T10:55:17+02:00,5,32,model-00020-of-00030.safetensors,46,4664134408,13.69,0.341
2026-07-17T10:55:17+02:00,5,32,model-00026-of-00030.safetensors,59,4664167408,13.79,0.338
2026-07-17T10:55:17+02:00,5,32,model-00009-of-00030.safetensors,107,4966157056,13.93,0.357
2026-07-17T10:55:17+02:00,5,32,model-00029-of-00030.safetensors,93,4966173536,13.90,0.357
2026-07-17T10:55:17+02:00,5,32,model-00023-of-00030.safetensors,70,4999711728,14.06,0.356
2026-07-17T10:55:17+02:00,5,32,model-00006-of-00030.safetensors,46,4664167408,14.30,0.326
2026-07-17T10:55:17+02:00,5,32,model-00019-of-00030.safetensors,105,4966157056,14.42,0.344
2026-07-17T10:55:17+02:00,5,32,model-00001-of-00030.safetensors,117,4584408808,14.48,0.317
2026-07-17T10:55:17+02:00,5,32,model-00011-of-00030.safetensors,59,4664167408,14.61,0.319
2026-07-17T10:55:17+02:00,5,32,model-00014-of-00030.safetensors,86,4966157056,14.63,0.339
2026-07-17T10:55:17+02:00,5,32,model-00013-of-00030.safetensors,2,4999711728,14.68,0.341
2026-07-17T10:55:17+02:00,5,32,model-00024-of-00030.safetensors,130,4966157056,15.02,0.331
2026-07-17T10:55:17+02:00,5,32,model-00010-of-00030.safetensors,30,4664134408,15.09,0.309
2026-07-17T10:55:17+02:00,5,32,model-00002-of-00030.safetensors,30,4664167376,15.16,0.308
2026-07-17T10:55:17+02:00,5,32,model-00007-of-00030.safetensors,139,4664167408,15.63,0.298
2026-07-17T10:55:17+02:00,5,32,model-00003-of-00030.safetensors,30,4999711704,16.70,0.299
2026-07-17T10:55:17+02:00,5,32,model-00008-of-00030.safetensors,149,4999711728,22.41,0.223
2026-07-17T10:55:17+02:00,5,32,model-00018-of-00030.safetensors,8,4999711728,174.05,0.029
