job=75154 node=nid002297 started=2026-07-17T12:02:38+02:00
cpus=32 mem=503GB
nic: 26859@kfi
shards=30 total=141.1GB bs=16M
slices_per_file,pool,tasks,rep,total_bytes,wall_s,agg_GBps,spawn_s
1,30,30,1,141107497872,196.63,0.72,0.11
1,30,30,2,141107497872,189.90,0.74,0.11
16,480,480,1,141107497872,14.67,9.62,0.63
16,480,480,2,141107497872,11.69,12.07,0.63
32,960,919,1,141107497872,7.45,18.94,1.25
32,960,919,2,141107497872,7.42,19.02,1.25
48,1440,1356,1,141107497872,6.52,21.64,1.88
48,1440,1356,2,141107497872,6.38,22.12,1.88
64,1920,1734,1,141107497872,6.16,22.91,2.40
64,1920,1734,2,141107497872,5.26,26.83,2.40

=== /iopsstor/scratch/cscs/yboughizane/simple-serving-stack/lustre-contention-exp/results/slice_deep-75154-nid002297.csv ===
slices_per_file,pool,tasks,rep,total_bytes,wall_s,agg_GBps,spawn_s
1,30,30,1,141107497872,196.63,0.72,0.11
1,30,30,2,141107497872,189.90,0.74,0.11
16,480,480,1,141107497872,14.67,9.62,0.63
16,480,480,2,141107497872,11.69,12.07,0.63
32,960,919,1,141107497872,7.45,18.94,1.25
32,960,919,2,141107497872,7.42,19.02,1.25
48,1440,1356,1,141107497872,6.52,21.64,1.88
48,1440,1356,2,141107497872,6.38,22.12,1.88
64,1920,1734,1,141107497872,6.16,22.91,2.40
64,1920,1734,2,141107497872,5.26,26.83,2.40
finished=2026-07-17T12:10:17+02:00
